#Auto-generated file. Do not edit.,,,,,,,,,,
$Basic,----------------------------------------------------------------------,,,,,,,,,
Category,Id,Text00,Text01,Text02,Text03,Text04,Text05,Text06,Text001,Text011
ACHIEVEMENT,1,$USER succeeded in enchanting +$ENCHANT $ITEM.,,,,,,,,
ACHIEVEMENT,2,$USER succeeded in enchanting +$ENCHANT $ITEM. Congratulations!,,,,,,,,
ACHIEVEMENT,4,$USER succeeded in meeting Anima.,,,,,,,,
ACHIEVEMENT,5,$USER succeeded in meeting Anima.,,,,,,,,
ACHIEVEMENT,6,$USER succeeded in meeting Anima.,,,,,,,,
ACHIEVEMENT,7,$USER succeeded in meeting Anima.,,,,,,,,
ACHIEVEMENT,8,$USER succeeded in meeting Anima.,,,,,,,,
ACHIEVEMENT,9,$USER succeeded in meeting Anima.,,,,,,,,
ACHIEVEMENT,10,$USER has acquired [Pizza Hut] Here's the Pizza! Coupon (M Size + 1.5-liter Coke).,,,,,,,,
ACHIEVEMENT,11,$USER has acquired [Starbucks] Caffe Latte Coupon.,,,,,,,,
ACHIEVEMENT,12,"$USER has acquired [SK Enclean] Petrol Discount Coupon (KRW10,000).",,,,,,,,
ACHIEVEMENT,13,"$USER has acquired [Baskin-Robbins] Ice Cream Coupon (KRW5,000).",,,,,,,,
ACHIEVEMENT,14,"$USER has acquired Coupon for Netmarble Cash: KRW3,000.",,,,,,,,
ACHIEVEMENT,15,"$USER has acquired Coupon for Netmarble Cash: KRW5,000.",,,,,,,,
ACHIEVEMENT,16,$USER has acquired Reinforced Steel of Bai.,,,,,,,,
ACHIEVEMENT,17,$USER has acquired Sigil of Power.,,,,,,,,
ACHIEVEMENT,18,$USER has acquired Heavenly Jewelery Box.,,,,,,,,
ACHIEVEMENT,19,$USER has acquired Paradise Bird Wing Necklace.,,,,,,,,
ACHIEVEMENT,20,$USER has acquired Pardi Tribe Skull Earring.,,,,,,,,
ACHIEVEMENT,21,$USER has acquired Leoberita's Commander Ring.,,,,,,,,
ACHIEVEMENT,22,$USER has acquired Kraken's Sharp Tentacles.,,,,,,,,
ACHIEVEMENT,23,$USER has acquired Chronometer's Solid Hourglass.,,,,,,,,
ACHIEVEMENT,24,$USER has acquired Vicious' Ring of Recuperation.,,,,,,,,
ACHIEVEMENT,25,$USER has acquired Regantor's Striking Earrings.,,,,,,,,
ACHIEVEMENT,26,$USER has acquired Kelkarox's Necklace of Life.,,,,,,,,
ACHIEVEMENT,27,$USER has acquired Radona's Tear Drop Earring.,,,,,,,,
ACHIEVEMENT,28,$USER has acquired Crasio's Soul Earring.,,,,,,,,
ACHIEVEMENT,29,$USER has acquired Drepius' Soul Ring.,,,,,,,,
ACHIEVEMENT,30,$USER has acquired Andrima's Tear Drop Ring.,,,,,,,,
ACHIEVEMENT,31,$USER has acquired Akrensis' Soul Necklace.,,,,,,,,
ACHIEVEMENT,32,$USER has acquired Quest Enhancer: Exp Boost 50% (14 days).,,,,,,,,
ACHIEVEMENT,33,$USER has acquired Star Coin x10.,,,,,,,,
ACHIEVEMENT,34,$PartyMemberList has been listed to Hall of Fame: Vicious Mansion. ,,,,,,,,
ACHIEVEMENT,35,$PartyMemberList been listed to Hall of Fame: Vicious Mansion (Hard).,,,,,,,,
ACHIEVEMENT,36,$PartyMemberList been listed to Hall of Fame: Venom Ground.,,,,,,,,
ACHIEVEMENT,37,$PartyMemberList been listed to Hall of Fame: Venom Ground (Hard).,,,,,,,,
ACHIEVEMENT,38,$PartyMemberList been listed to Hall of Fame: Immoral Cave.,,,,,,,,
ACHIEVEMENT,39,$PartyMemberList been listed to Hall of Fame: Immoral Cave (Hard).,,,,,,,,
ACHIEVEMENT,40,$PartyMemberList been listed to Hall of Fame: Tomb of Hero.,,,,,,,,
ACHIEVEMENT,41,$PartyMemberList been listed to Hall of Fame: Tomb of Hero (Hard).,,,,,,,,
ACHIEVEMENT,42,$PartyMemberList been listed to Hall of Fame: Tomb of Evil Hero.,,,,,,,,
ACHIEVEMENT,43,$PartyMemberList been listed to Hall of Fame: Tomb of Evil Hero (Hard).,,,,,,,,
ACHIEVEMENT,44,$PartyMemberList been listed to Hall of Fame: Bestial Inferno.,,,,,,,,
ACHIEVEMENT,45,$PartyMemberList been listed to Hall of Fame: Bestial Inferno (Hard).,,,,,,,,
ACHIEVEMENT,46,$PartyMemberList been listed to Hall of Fame: Crystal Cave (East).,,,,,,,,
ACHIEVEMENT,47,$PartyMemberList been listed to Hall of Fame: Crystal Cave (West).,,,,,,,,
ACHIEVEMENT,48,$PartyMemberList been listed to Hall of Fame: Vinemaze.,,,,,,,,
ACHIEVEMENT,49,$PartyMemberList been listed to Hall of Fame: Vinemaze (Hard).,,,,,,,,
ACHIEVEMENT,50,$PartyMemberList been listed to Hall of Fame: Void Tower.,,,,,,,,
ACHIEVEMENT,51,$PartyMemberList been listed to Hall of Fame: Regna Castrum.,,,,,,,,
ACHIEVEMENT,52,$PartyMemberList been listed to Hall of Fame: Lake Garden.,,,,,,,,
ACHIEVEMENT,53,$PartyMemberList been listed to Hall of Fame: Underground Prison.,,,,,,,,
ACHIEVEMENT,54,$PartyMemberList been listed to Hall of Fame: Atrium of Corrupted Dreams.,,,,,,,,
ACHIEVEMENT,55,$USER has acquired Recipe: Adrogant's Corrupted Necklace.,,,,,,,,
ACHIEVEMENT,56,$USER has acquired Summon Pero: Leoberita.,,,,,,,,
ACHIEVEMENT,57,$USER has acquired Summon Pero: Crasiel.,,,,,,,,
ACTION_INFO,1,Attack,Attacks enemies with the current weapon.,,,,,,,
ACTION_INFO,2,PK Mode,A single click retains the PK mode. Re-click it to release the state.,,,,,,,
ACTION_INFO,3,Next Target,Selects the closest enemy as a target.,,,,,,,
ACTION_INFO,4,Pick Up,Picks up the closest item.,,,,,,,
ACTION_INFO,5,Rest,Makes the character sit and rest.,,,,,,,
ACTION_INFO,6,Battle Mode On/off,Turns on or off Battle mode.,,,,,,,
ACTION_INFO,7,Change Weapons,Replaces main weapons with secondary weapons.,,,,,,,
ACTION_INFO,8,Run/Walk,Toggles between Run/Walk modes.,,,,,,,
ACTION_INFO,9,Trade,Tries to make a trade with the target.,,,,,,,
ACTION_INFO,10,Start/End Anima Mode,Toggles between Anima mode and Normal mode.,,,,,,,
ACTION_INFO,11,Release Summoned Gigas,Releases the summoned Gigas.,,,,,,,
ACTION_INFO,12,Dice,Shows the fall of the dice to your party/expedition members.,,,,,,,
ACTION_INFO,13,Return,Orders Anima to return.,,,,,,,
ACTION_INFO,14,Wait,Orders Anima to wait.,,,,,,,
ACTION_INFO,15,Step Aside,Orders Anima to step aside.,,,,,,,
ACTION_INFO,16,Communicate,Converses with Anima.,,,,,,,
ACTION_INFO,17,Start/End Anima Awakening,Starts/ends awakening Anima.,,,,,,,
ACTION_INFO,18,Agree,A social action.,,,,,,,
ACTION_INFO,19,Get Angry,A social action.,,,,,,,
ACTION_INFO,20,Tease,A social action.,,,,,,,
ACTION_INFO,21,Bored,A social action.,,,,,,,
ACTION_INFO,22,Greeting 1,A social action.,,,,,,,
ACTION_INFO,23,Rush,A social action.,,,,,,,
ACTION_INFO,24,Cheer,A social action.,,,,,,,
ACTION_INFO,25,Frustrate,A social action.,,,,,,,
ACTION_INFO,26,Cry,A social action.,,,,,,,
ACTION_INFO,27,Deny,A social action.,,,,,,,
ACTION_INFO,28,Clap,A social action.,,,,,,,
ACTION_INFO,29,Greeting 2,A social action.,,,,,,,
ACTION_INFO,30,Incomprehensible,A social action.,,,,,,,
ACTION_INFO,31,Kiss,A social action.,,,,,,,
ACTION_INFO,32,Laugh,A social action.,,,,,,,
ACTION_INFO,33,Stare,A social action.,,,,,,,
ACTION_INFO,34,Silent Tribute,A social action.,,,,,,,
ACTION_INFO,35,Servile,A social action.,,,,,,,
ACTION_INFO,36,Give Direction,A social action.,,,,,,,
ACTION_INFO,37,Praise,A social action.,,,,,,,
ACTION_INFO,38,Silent,A social action.,,,,,,,
ACTION_INFO,39,Greeting 3,A social action.,,,,,,,
ACTION_INFO,40,Sulky,A social action.,,,,,,,
ACTION_INFO,41,Surprised,A social action.,,,,,,,
ACTION_INFO,42,Talk,A social action.,,,,,,,
ADMINCMD,WARP,WARP,"WARP [Zone Name]
WARP [Zone ID]
WARP [X] [Y] [Z]
WARP [X] [Y] [Z] [Zone ID]",You will move to the specified zone.,"You may be in an invalid state, the specified zone cannot be found, or you are playing a tutorial.",,,,,
ADMINCMD,INVULNERABILITY,INVULNERABILITY,INVULNERABILITY [0/1/2],"Makes GM Character and Anima invincible.
0 = Not invincible
1 = Makes both PC and Anima invincible
2 = Makes only PC invincible",You cannot use the command while you are dead.,,,,,
ADMINCMD,HIDE,HIDE,HIDE [0/1],"Makes GM Character invisible so that other players cannot see him.
You cannot make Anima invisible.",You cannot use the command while you are dead.,,,,,
ADMINCMD,SUMMON_NPC,SUMMON_NPC,SUMMON_NPC [Model ID] [Quantity],Creates NPCs of the specified model or model class.,No NPC of the specified model is found.,,,,,
ADMINCMD,SUMMON_NPC_HORDE,SUMMON_NPC_HORDE,SUMMON_NPC_HORDE [Min Model ID] [Max Model ID] [Quantity],Creates NPCs of the specified model class.,No NPC of the specified model is found.,,,,,
ADMINCMD,CLEAR_NPC,CLEAR_NPC,"CLEAR_NPC
CLEAR_NPC [Radius]","Deletes NPCs within a given radius of the character.
Default radius is 30 meters.",,,,,,
ADMINCMD,LIST_CONNECTED,LIST_CONNECTED,LIST_CONNECTED,Displays the names of players currently logged on.,OnlinePlayer command works only when the on-line players are less than 50.,,,,,
ADMINCMD,TRACE,TRACE,TRACE,Moves close to the specified player or NPC.,The character does not exist.,,,,,
ADMINCMD,SUMMON,SUMMON,SUMMON [Name],"Summons the player with the specified name next to GM Character.
You cannot summon a character who is playing a tutorial or riding a vehicle.",The character does not exist.,,,,,
ADMINCMD,ACQUIRE_QUEST,ACQUIRE_QUEST,ACQUIRE_QUEST [Quest ID],Receives the quest of the specified ID.,The character does not exist.,,,,,
ADMINCMD,MAKE_QUEST_ACTIVE,MAKE_QUEST_ACTIVE,MAKE_QUEST_ACTIVE [Quest ID],Activates the quest of the specified ID.,The quest does not exist.,,,,,
ADMINCMD,MAKE_QUEST_SUCCESS,MAKE_QUEST_SUCCESS,MAKE_QUEST_SUCCESS [Quest ID],Changes the quest of the specified ID to Succeeded state.,The quest does not exist.,,,,,
ADMINCMD,MAKE_QUEST_FAILURE,MAKE_QUEST_FAILURE,MAKE_QUEST_FAILURE [Quest ID],Changes the quest of the specified ID to Failed state.,The quest does not exist.,,,,,
ADMINCMD,MAKE_QUEST_COMPLETE,MAKE_QUEST_COMPLETE,MAKE_QUEST_COMPLETE [Quest ID],Changes the quest of the specified ID to Completed state.,The quest does not exist.,,,,,
ADMINCMD,CLEAR_QUEST,CLEAR_QUEST,CLEAR_QUEST,"Deletes all quests including the completed ones.
You have to log on again after executing this command.",,,,,,
ADMINCMD,CLEAR_TRIGGER,CLEAR_TRIGGER,CLEAR_TRIGGER,"Initializes all triggers.
You have to log on again after executing this command.",,,,,,
ADMINCMD,CLEAR_INTRO,CLEAR_INTRO,CLEAR_INTRO,Initializes the intro movie play.,,,,,,
ADMINCMD,ADD_SKILL,ADD_SKILL,ADD_SKILL [Skill ID],Adds the skill of the specified ID.,The skill does not exist or it is not for your level or class.,,,,,
ADMINCMD,REMOVE_SKILL,REMOVE_SKILL,REMOVE_SKILL [Skill ID],Deletes the skill of the specified ID.,You don't have the specified skill.,,,,,
ADMINCMD,ADD_ITEM,ADD_ITEM,"ADD_ITEM [Gear/Useup/Quest/Misc] [Item Type] [Quantity]
ADD_ITEM [Gear/Useup/Quest/Misc] [Min Item Type] [Max Item Type] [Quantity]",Creates the specified items.,The item does not exist or your inventory is full.,,,,,
ADMINCMD,ADD_MONEY,ADD_MONEY,ADD_MONEY [Money],Adds GameMoney.,You cannot add mileage anymore.,,,,,
ADMINCMD,ADD_EXP,ADD_EXP,ADD_EXP [Exp.],Increases your Exp.,,,,,,
ADMINCMD,ADD_LEVEL,ADD_LEVEL,"ADD_LEVEL
ADD_LEVEL [Level]",Raises the level.,"You are dead, you are in Gigas state, or your level is full.",,,,,
ADMINCMD,KICK,KICK,KICK [Name],"Disconnects the player with the specified account.
The player cannot access the account unless you remove the access ban by using the management tool. ",No player with the specified account is found.,,,,,
ADMINCMD,SYSTEM_MESSAGE,SYSTEM_MESSAGE,SYSTEM_MESSAGE [Message],Displays the announcement to all players.,,,,,,
ADMINCMD,SHUTDOWN,SHUTDOWN,SHUTDOWN [Time until shutdown (seconds)] [Interval to display shutdown message (seconds)],Shuts down the game server.,,,,,,
ADMINCMD,RELOAD_RESOURCE,RELOAD_RESOURCE,RELOAD_RESOURCE,Reloads the game server resources (Lua script).,,,,,,
ADMINCMD,REGENERATION,REGENERATION,REGENERATION [0/1],Adds an effect that refills your blood no matter who hits you.,You cannot use the command while you are dead.,,,,,
ADMINCMD,ADD_GIGAS,ADD_GIGAS,ADD_GIGAS [Model ID],"Adds a Gigas of the specified model.
You cannot use the command when you don't have Anima.",You already have a Gigas of the same model or the model does not exist.,,,,,
ADMINCMD,SET_ANIMA_INTIMACY,SET_ANIMA_INTIMACY,SET_ANIMA_INTIMACY [Closeness value],"Sets Anima's closeness.
You cannot use the command when you don't have Anima.","You cannot set Anima's disposition when you are dead, you are in Gigas state, or you have no Anima.",,,,,
ADMINCMD,INSPECT,INSPECT,"INSPECT
INSPECT [Character name]","Displays brief information on the specified player, Anima, NPC or Gadget.
If you enter a player's name, the command will display information only on the specified player.
If you don't enter any name, the command will display information on the currently selected object.",The character does not exist.,,,,,
ADMINCMD,SILENCE,SILENCE,SILENCE [0/1] [Character name] [Time (seconds)],The player will be banned from chatting for 3 hours. ,The character does not exist.,,,,,
ADMINCMD,HASTE,HASTE,HASTE [Percent],"Increases the moving speed. You can increase the speed by up to 1,000 percent.",,,,,,
ADMINCMD,MEGA_DEATH,MEGA_DEATH,MEGA_DEATH [0/1],Adds an effect that kills any character by a single blow.,,,,,,
ADMINCMD,SUMMON_GADGET,SUMMON_GADGET,SUMMON_GADGET [Model ID] [Quantity],Summons a Gadget.,No Gadget of the specified model is found.,,,,,
ADMINCMD,REMOVE_COOLDOWN,REMOVE_COOLDOWN,REMOVE_COOLDOWN,"Initializes cooldown times of skills, items and Gigas.",,,,,,
ADMINCMD,TRANSIT_OFF,TRANSIT_OFF,TRANSIT_OFF,Forces to get off a vehicle.,You are not riding a vehicle.,,,,,
ADMINCMD,FINISH_TUTORIAL,FINISH_TUTORIAL,FINISH_TUTORIAL,Ends the tutorial.,You are not in the tutorial mode.,,,,,
ADMINCMD,MAKE_MAX_LEVEL,MAKE_MAX_LEVEL,MAKE_MAX_LEVEL,Raises the character's level to maximum.,"You are dead, you are in Gigas state, or your level is full.",,,,,
ADMINCMD,MICRO_DEATH,MICRO_DEATH,MICRO_DEATH [0/1],Adds an effect that inflicts only a minimum damage on any target you hit.,,,,,,
ADMINCMD,SET_HP,SET_HP,SET_HP [Value],Sets current Health to the specified value.,You can use the command only when you are a living human.,,,,,
ADMINCMD,SET_MP,SET_MP,SET_MP [Value],Sets current Mp to the specified value.,You can use the command only when you are a living human.,,,,,
ADMINCMD,RESET_EFFECT,RESET_EFFECT,RESET_EFFECT,Removes all the removable effects.,You can use the command only when you are a living human.,,,,,
ADMINCMD,SET_ANIMA_PANEL,SET_ANIMA_PANEL,SET_ANIMA_PANEL [X] [Y],Changes Anima's disposition.,"You cannot set Anima's disposition when you are dead, you are in Gigas state, or you have no Anima.",,,,,
ADMINCMD,SUMMON_GIGAS,SUMMON_GIGAS,SUMMON_GIGAS [Gigas model],Summons Gigas by force.,"The command has failed because you are dead, you have no Gigas to summon, or you are already in Gigas state.",,,,,
ADMINCMD,EXECUTE_QUEST_TASK_ACTION,EXECUTE_QUEST_TASK_ACTION,EXECUTE_QUEST_TASK_ACTION [Quest ID] [Task ID],Starts an action to confirm your completion of the quest task.,You cannot use the command while you are dead.,,,,,
